#pan_ID	anns_in_og	genes_in_og	acacr.Acra3RX	aesev.CIAT22838	arath.Col0	bauva.BV-YZ2020	cerca.ISC453364	chafa.ISC494698	glyma.Wm82	lotja.MG20	medtr.A17_HM341	paran.WU01x14	phach.longxuteng	phavu.G19833	prupe.Lovell	quisa.S10	sento.Myeongyun	singl.CAF01	treor.RG33x02	vitvi.PN40024
LegSF.fam3.00118	18	102	6	6	5	7	7	7	6	1	6	5	3	8	5	4	8	7	6	5	
LegSF.fam3.00119	18	257	14	16	9	20	9	15	32	16	12	10	19	15	8	15	12	16	9	10	
LegSF.fam3.00120	18	176	8	9	4	14	9	8	16	10	12	8	17	7	7	15	6	5	9	12	
LegSF.fam3.00121	18	275	11	13	12	16	12	13	29	23	15	19	13	15	10	13	15	17	18	11	
LegSF.fam3.00122	18	565	29	15	35	67	41	13	26	24	29	46	19	19	62	19	10	22	36	53	
LegSF.fam3.00123	18	363	13	14	9	24	13	20	8	13	10	56	10	6	16	46	14	21	55	15	
LegSF.fam3.00124	12	224	21	0	0	68	28	4	10	0	10	1	18	11	0	3	34	16	0	0	
LegSF.fam3.00125	18	188	11	11	10	12	9	9	17	12	9	9	11	9	7	15	7	9	10	11	
LegSF.fam3.00126	18	269	24	14	6	15	13	18	19	14	21	16	4	16	14	22	11	9	18	15	
LegSF.fam3.00127	18	199	11	11	10	11	8	15	15	11	16	10	10	10	9	15	12	7	10	8	
LegSF.fam3.00128	18	362	19	15	6	32	38	20	27	26	27	12	25	12	15	22	14	13	16	23	
LegSF.fam3.00129	18	160	8	6	7	9	5	6	14	6	9	14	9	7	7	10	6	8	14	15	
LegSF.fam3.00130	18	203	11	9	10	13	12	12	22	10	13	7	11	14	7	13	9	15	7	8	
LegSF.fam3.00131	18	260	18	14	11	17	12	12	32	11	12	11	16	20	8	13	16	14	8	15	
LegSF.fam3.00132	18	270	16	10	28	14	7	17	20	11	35	8	11	11	10	11	10	17	16	18	
LegSF.fam3.00133	18	497	6	7	1	17	26	9	63	28	85	85	5	11	22	17	7	19	67	22	
LegSF.fam3.00134	12	235	19	3	0	31	43	21	1	7	52	0	17	4	0	0	23	14	0	0	
LegSF.fam3.00135	18	95	6	3	5	5	7	4	7	3	5	5	7	6	6	8	5	4	4	5	
LegSF.fam3.00136	18	156	13	5	11	14	10	8	10	5	13	4	3	5	6	9	10	6	6	18	
LegSF.fam3.00137	18	221	8	15	12	13	9	14	21	13	20	9	11	12	9	14	11	11	9	10	
LegSF.fam3.00138	18	245	13	12	14	19	11	15	25	14	14	12	9	12	13	14	11	12	13	12	
LegSF.fam3.00139	18	278	14	13	9	9	12	9	24	18	19	21	8	13	21	25	9	11	21	22	
LegSF.fam3.00140	18	243	11	12	13	17	11	21	24	10	13	10	15	12	10	17	10	17	9	11	
LegSF.fam3.00141	18	252	16	10	20	13	7	17	26	21	15	8	10	12	7	22	14	14	12	8	
LegSF.fam3.00142	18	196	10	9	9	11	9	15	18	7	12	6	7	14	7	13	12	16	11	10	
LegSF.fam3.00143	17	341	20	3	0	21	46	15	11	26	35	14	14	10	17	19	14	11	10	55	
LegSF.fam3.00144	11	72	7	3	0	1	0	1	10	3	3	0	0	5	0	21	0	16	0	2	
LegSF.fam3.00145	18	356	6	9	21	17	13	3	7	6	8	43	8	8	71	16	2	21	42	55	
LegSF.fam3.00146	18	155	6	9	10	11	5	11	17	10	9	9	8	8	7	8	6	7	7	7	
LegSF.fam3.00147	18	91	5	3	4	6	5	5	6	9	5	3	6	4	5	6	5	5	3	6	
LegSF.fam3.00148	17	26	2	1	1	2	2	1	1	0	1	1	1	1	1	2	2	5	1	1	
LegSF.fam3.00149	18	41	2	2	1	4	4	1	6	1	4	1	1	3	2	1	4	2	1	1	
LegSF.fam3.00150	18	204	12	11	10	14	7	12	22	16	11	7	13	12	7	11	13	10	7	9	
LegSF.fam3.00151	18	226	12	15	10	16	9	11	25	19	16	7	14	13	8	16	11	10	7	7	
LegSF.fam3.00152	17	203	8	7	0	20	25	5	16	5	23	10	19	12	11	5	4	4	9	20	
LegSF.fam3.00153	18	201	8	8	12	17	11	11	14	14	16	8	11	12	11	13	6	8	8	13	
LegSF.fam3.00154	18	153	4	7	7	9	5	5	11	12	10	9	8	10	8	14	4	10	9	11	
LegSF.fam3.00155	18	156	8	7	9	11	9	5	11	7	8	10	11	9	5	5	17	7	9	8	
LegSF.fam3.00156	18	242	11	12	12	15	7	14	28	23	14	9	12	13	8	13	13	18	9	11	
LegSF.fam3.00157	18	223	9	11	10	14	8	22	21	13	13	10	13	11	9	15	9	14	10	11	
LegSF.fam3.00158	18	224	14	11	16	14	7	11	25	20	14	7	9	13	7	13	12	16	7	8	
LegSF.fam3.00159	18	251	15	13	16	17	9	23	20	11	14	11	14	11	12	20	8	13	13	11	
LegSF.fam3.00160	18	163	8	8	11	8	6	10	14	7	11	9	8	11	9	8	8	7	10	10	
LegSF.fam3.00161	18	165	8	3	3	6	7	17	10	4	10	4	8	6	11	29	11	5	7	16	
LegSF.fam3.00162	18	264	15	8	3	34	29	11	18	19	15	14	18	10	9	10	10	10	13	18	
LegSF.fam3.00163	12	61	7	7	0	5	2	1	0	2	22	6	2	0	0	1	2	0	4	0	
LegSF.fam3.00164	18	180	6	10	20	19	16	19	12	9	10	4	10	9	2	8	9	6	3	8	
LegSF.fam3.00165	18	311	18	7	3	30	18	6	27	18	21	28	13	20	14	33	5	12	32	6	
LegSF.fam3.00166	18	158	7	7	8	16	7	6	18	12	8	6	10	9	6	10	5	10	6	7	
LegSF.fam3.00167	18	246	18	7	1	16	26	8	15	5	15	19	15	8	19	15	8	10	15	26	
LegSF.fam3.00168	4	8	0	0	4	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	
LegSF.fam3.00169	18	89	3	4	4	6	7	4	8	2	7	3	6	4	9	7	3	5	3	4	
LegSF.fam3.00170	18	170	7	6	7	9	10	7	11	17	16	10	5	9	16	11	6	10	7	6	
LegSF.fam3.00171	18	158	8	6	9	10	7	6	15	15	9	9	9	7	7	12	3	11	8	7	
LegSF.fam3.00172	18	208	6	11	8	17	11	14	20	10	19	6	9	11	5	11	20	8	6	16	
LegSF.fam3.00173	18	140	6	5	6	14	5	13	12	6	7	6	6	6	7	11	4	9	9	8	
LegSF.fam3.00174	18	206	17	10	10	16	8	14	18	9	12	8	13	11	8	16	11	10	7	8	
LegSF.fam3.00175	18	177	11	9	9	12	7	10	23	6	10	5	9	11	5	15	10	15	5	5	
LegSF.fam3.00176	18	137	10	6	3	7	6	7	14	7	9	12	7	5	6	6	6	7	14	5	
LegSF.fam3.00177	17	214	6	2	12	17	12	14	10	2	0	4	24	12	14	14	17	23	11	20	
LegSF.fam3.00178	18	193	9	10	16	12	9	13	17	10	13	8	10	10	9	13	6	14	8	6	
LegSF.fam3.00179	9	150	0	11	0	0	5	0	30	8	78	0	6	6	0	1	0	5	0	0	
LegSF.fam3.00180	18	94	4	5	5	6	6	5	9	5	4	4	4	6	4	6	4	7	4	6	
LegSF.fam3.00181	18	202	10	10	8	14	8	11	22	18	12	6	14	12	7	11	8	14	10	7	
LegSF.fam3.00182	18	272	24	14	22	15	37	18	30	12	15	6	8	10	11	18	8	10	6	8	
LegSF.fam3.00183	18	230	12	12	14	17	9	12	26	14	15	10	12	9	9	17	12	11	10	9	
LegSF.fam3.00184	18	297	32	15	15	17	9	19	43	17	13	10	13	16	10	17	15	16	10	10	
LegSF.fam3.00185	18	200	10	10	10	17	11	11	17	10	9	11	9	9	11	13	12	14	9	7	
LegSF.fam3.00186	18	67	2	4	1	3	2	2	4	5	21	2	1	3	1	4	3	3	3	3	
LegSF.fam3.00187	18	206	9	7	9	16	12	10	16	14	18	5	31	10	6	15	7	6	6	9	
LegSF.fam3.00188	18	215	11	9	9	17	10	12	23	12	11	12	10	11	7	14	17	10	9	11	
LegSF.fam3.00189	18	173	4	5	3	9	9	5	9	8	6	12	7	6	12	24	6	10	12	26	
LegSF.fam3.00190	18	200	8	7	12	13	8	13	18	10	9	11	11	9	10	18	9	10	11	13	
LegSF.fam3.00191	12	151	7	7	2	71	21	6	19	4	0	0	7	1	0	0	1	5	0	0	
LegSF.fam3.00192	18	278	15	7	11	30	21	16	15	19	11	16	26	10	12	13	12	13	16	15	
LegSF.fam3.00193	18	167	6	9	10	17	12	7	13	7	12	6	9	7	13	12	4	9	8	6	
LegSF.fam3.00194	18	173	7	7	10	11	7	8	15	9	12	8	9	8	7	18	10	9	8	10	
LegSF.fam3.00195	18	177	11	11	8	16	9	8	18	10	8	7	10	10	7	9	7	10	7	11	
LegSF.fam3.00196	18	202	12	10	9	19	9	11	21	13	11	8	11	10	8	10	11	14	8	7	
LegSF.fam3.00197	18	227	16	8	12	18	10	12	25	10	9	10	11	9	9	18	16	12	12	10	
LegSF.fam3.00198	12	54	4	2	0	7	4	4	8	6	8	0	0	4	0	1	3	3	0	0	
LegSF.fam3.00199	17	97	4	2	11	6	6	4	9	5	16	3	4	5	6	6	3	4	3	0	
LegSF.fam3.00200	18	238	25	9	5	26	8	17	1	1	6	17	13	1	25	16	21	10	20	17	
LegSF.fam3.00201	4	28	1	1	17	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	
LegSF.fam3.00202	4	122	0	0	1	0	0	0	0	15	101	0	0	5	0	0	0	0	0	0	
LegSF.fam3.00203	18	174	9	9	4	16	8	15	16	19	12	4	13	15	4	5	8	10	4	3	
LegSF.fam3.00204	18	90	6	2	2	3	6	4	7	1	4	7	2	4	10	6	4	4	6	12	
LegSF.fam3.00205	18	167	4	5	7	12	9	7	17	6	8	15	4	8	12	9	5	11	18	10	
LegSF.fam3.00206	17	92	0	2	8	2	3	5	15	3	31	2	3	4	1	4	1	2	2	4	
LegSF.fam3.00207	18	260	13	14	12	17	8	16	25	16	17	8	15	13	9	17	14	17	8	21	
LegSF.fam3.00208	18	289	18	11	9	14	13	15	14	7	19	15	28	10	36	13	8	13	17	29	
LegSF.fam3.00209	18	183	10	9	7	13	8	12	19	6	11	8	11	11	9	10	10	11	8	10	
LegSF.fam3.00210	18	253	16	10	11	16	10	15	24	17	18	12	11	13	10	18	16	14	11	11	
LegSF.fam3.00211	18	136	3	5	3	9	8	5	25	4	4	7	7	9	11	9	6	5	7	9	
LegSF.fam3.00212	18	108	7	5	4	7	8	4	7	10	5	4	5	6	5	4	5	9	7	6	
LegSF.fam3.00213	18	167	10	9	12	10	7	11	14	10	12	7	7	9	7	8	8	12	7	7	
LegSF.fam3.00214	18	169	11	9	5	11	7	11	15	10	10	5	12	9	6	14	8	13	5	8	
LegSF.fam3.00215	18	173	9	9	11	13	7	10	17	6	8	7	9	9	8	13	9	13	7	8	
LegSF.fam3.00216	18	190	11	11	7	14	8	12	23	10	10	5	8	11	9	13	13	13	5	7	
LegSF.fam3.00217	18	162	9	8	5	14	7	10	16	10	8	7	13	8	8	10	7	8	7	7	
LegSF.fam3.00218	18	218	12	11	13	13	8	17	21	14	31	5	11	10	8	11	6	12	5	10	
